,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,LNC,RR PARTNERS LP,SHR,2013-09-30,291499000,6942100,41.0,RR PARTNERS LP,SHR,2013-06-30,253178000,6942100,36.0,0,5.0,SELL-PARTIAL,5 - Large
1,HIG,RR PARTNERS LP,SHR,2013-09-30,238672000,7669400,31.0,RR PARTNERS LP,SHR,2013-06-30,237138000,7669400,30.0,0,1.0,HOLD,5 - Large
2,KR,RR PARTNERS LP,SHR,2013-09-30,228784000,5671400,40.0,RR PARTNERS LP,SHR,2013-06-30,195890000,5671400,34.0,0,6.0,HOLD,5 - Large
3,HLF,RR PARTNERS LP,SHR,2013-09-30,210643000,3019100,69.0,RR PARTNERS LP,SHR,2013-06-30,136282000,3019100,45.0,0,24.0,SELL-PARTIAL,5 - Large
4,PSX,RR PARTNERS LP,SHR,2013-09-30,202702000,3505750,57.0,RR PARTNERS LP,SHR,2013-06-30,206524000,3505750,58.0,0,-1.0,HOLD,5 - Large
5,AMP,RR PARTNERS LP,SHR,2013-09-30,196259000,2154800,91.0,RR PARTNERS LP,SHR,2013-06-30,174280000,2154800,80.0,0,11.0,SELL-PARTIAL,5 - Large
6,VLO,RR PARTNERS LP,SHR,2013-09-30,190748000,5585600,34.0,RR PARTNERS LP,SHR,2013-06-30,194211000,5585600,34.0,0,0.0,HOLD,5 - Large
7,CAM,RR PARTNERS LP,SHR,2013-09-30,174677000,2992581,58.0,RR PARTNERS LP,SHR,2013-06-30,183026000,2992581,61.0,0,-3.0,SELL-PARTIAL,5 - Large
8,CI,RR PARTNERS LP,SHR,2013-09-30,132422000,1722900,76.0,RR PARTNERS LP,SHR,2013-06-30,124893000,1722900,72.0,0,4.0,HOLD,5 - Large
9,TDY,RR PARTNERS LP,SHR,2013-09-30,89992000,1059600,84.0,RR PARTNERS LP,SHR,2013-06-30,81960000,1059600,77.0,0,7.0,HOLD,5 - Large
10,OII,RR PARTNERS LP,SHR,2013-09-30,85205000,1048800,81.0,RR PARTNERS LP,SHR,2013-06-30,75723000,1048800,72.0,0,9.0,HOLD,4 - Mid
11,KEX,RR PARTNERS LP,SHR,2013-09-30,60672000,701000,86.0,RR PARTNERS LP,SHR,2013-06-30,55758000,701000,79.0,0,7.0,BUY-MORE,4 - Mid
12,KBR,RR PARTNERS LP,SHR,2013-09-30,52485000,1607996,32.0,RR PARTNERS LP,SHR,2013-06-30,52260000,1607996,32.0,0,0.0,SELL-PARTIAL,5 - Large
13,JKHY,RR PARTNERS LP,SHR,2013-09-30,39020000,755322,51.0,RR PARTNERS LP,SHR,2013-06-30,35598000,755322,47.0,0,4.0,SELL-PARTIAL,4 - Mid
14,CST,RR PARTNERS LP,SHR,2013-09-30,18495000,620621,29.0,RR PARTNERS LP,SHR,2013-06-30,19121000,620621,30.0,0,-1.0,HOLD,5 - Large
15,WWAV,RR PARTNERS LP,SHR,2013-09-30,9092000,455271,19.0,RR PARTNERS LP,SHR,2013-06-30,16428000,1050859,15.0,-595588,4.0,HOLD,4 - Mid
16,DFODQ,RR PARTNERS LP,SHR,2013-09-30,3057000,158374,19.0,RR PARTNERS LP,SHR,2013-06-30,17004000,1697000,10.0,-1538626,9.0,HOLD,4 - Mid
0,LNC,RR PARTNERS LP,SHR,2013-12-31,358351000,6942100,51.0,RR PARTNERS LP,SHR,2013-09-30,291499000,6942100,41.0,0,10.0,SELL-PARTIAL,5 - Large
1,VLO,RR PARTNERS LP,SHR,2013-12-31,281514000,5585600,50.0,RR PARTNERS LP,SHR,2013-09-30,190748000,5585600,34.0,0,16.0,HOLD,5 - Large
2,HIG,RR PARTNERS LP,SHR,2013-12-31,277862000,7669400,36.0,RR PARTNERS LP,SHR,2013-09-30,238672000,7669400,31.0,0,5.0,HOLD,5 - Large
3,PSX,RR PARTNERS LP,SHR,2013-12-31,255744000,3315750,77.0,RR PARTNERS LP,SHR,2013-09-30,202702000,3505750,57.0,-190000,20.0,SELL-PARTIAL,5 - Large
4,AMP,RR PARTNERS LP,SHR,2013-12-31,253662000,2204800,115.0,RR PARTNERS LP,SHR,2013-09-30,196259000,2154800,91.0,50000,24.0,HOLD,5 - Large
5,HLF,RR PARTNERS LP,SHR,2013-12-31,237603000,3019100,78.0,RR PARTNERS LP,SHR,2013-09-30,210643000,3019100,69.0,0,9.0,SELL-PARTIAL,5 - Large
6,KR,RR PARTNERS LP,SHR,2013-12-31,224190000,5671400,39.0,RR PARTNERS LP,SHR,2013-09-30,228784000,5671400,40.0,0,-1.0,HOLD,5 - Large
7,CAM,RR PARTNERS LP,SHR,2013-12-31,181839000,3054581,59.0,RR PARTNERS LP,SHR,2013-09-30,174677000,2992581,58.0,62000,1.0,SELL-PARTIAL,5 - Large
8,CI,RR PARTNERS LP,SHR,2013-12-31,150719000,1722900,87.0,RR PARTNERS LP,SHR,2013-09-30,132422000,1722900,76.0,0,11.0,HOLD,5 - Large
9,TDY,RR PARTNERS LP,SHR,2013-12-31,97335000,1059600,91.0,RR PARTNERS LP,SHR,2013-09-30,89992000,1059600,84.0,0,7.0,HOLD,5 - Large
10,OII,RR PARTNERS LP,SHR,2013-12-31,82729000,1048800,78.0,RR PARTNERS LP,SHR,2013-09-30,85205000,1048800,81.0,0,-3.0,HOLD,4 - Mid
11,KEX,RR PARTNERS LP,SHR,2013-12-31,69574000,701000,99.0,RR PARTNERS LP,SHR,2013-09-30,60672000,701000,86.0,0,13.0,BUY-MORE,4 - Mid
12,JKHY,RR PARTNERS LP,SHR,2013-12-31,44723000,755322,59.0,RR PARTNERS LP,SHR,2013-09-30,39020000,755322,51.0,0,8.0,SELL-PARTIAL,5 - Large
13,CST,RR PARTNERS LP,SHR,2013-12-31,1856000,50557,36.0,RR PARTNERS LP,SHR,2013-09-30,18495000,620621,29.0,-570064,7.0,SELL-PARTIAL,4 - Mid
0,LNC,RR PARTNERS LP,SHR,2014-03-31,351574000,6938500,50.0,RR PARTNERS LP,SHR,2013-12-31,358351000,6942100,51.0,-3600,-1.0,SELL-PARTIAL,5 - Large
1,VLO,RR PARTNERS LP,SHR,2014-03-31,304985000,5743600,53.0,RR PARTNERS LP,SHR,2013-12-31,281514000,5585600,50.0,158000,3.0,HOLD,5 - Large
2,HIG,RR PARTNERS LP,SHR,2014-03-31,281081000,7969400,35.0,RR PARTNERS LP,SHR,2013-12-31,277862000,7669400,36.0,300000,-1.0,HOLD,5 - Large
3,PSX,RR PARTNERS LP,SHR,2014-03-31,259365000,3365750,77.0,RR PARTNERS LP,SHR,2013-12-31,255744000,3315750,77.0,50000,0.0,SELL-PARTIAL,5 - Large
4,AMP,RR PARTNERS LP,SHR,2014-03-31,252148000,2290800,110.0,RR PARTNERS LP,SHR,2013-12-31,253662000,2204800,115.0,86000,-5.0,HOLD,5 - Large
5,KR,RR PARTNERS LP,SHR,2014-03-31,214845000,4922000,43.0,RR PARTNERS LP,SHR,2013-12-31,224190000,5671400,39.0,-749400,4.0,SELL-PARTIAL,5 - Large
6,CAM,RR PARTNERS LP,SHR,2014-03-31,195476000,3164581,61.0,RR PARTNERS LP,SHR,2013-12-31,181839000,3054581,59.0,110000,2.0,HOLD,5 - Large
7,HLF,RR PARTNERS LP,SHR,2014-03-31,182353000,3184100,57.0,RR PARTNERS LP,SHR,2013-12-31,237603000,3019100,78.0,165000,-21.0,SELL-PARTIAL,5 - Large
8,CI,RR PARTNERS LP,SHR,2014-03-31,151141000,1805100,83.0,RR PARTNERS LP,SHR,2013-12-31,150719000,1722900,87.0,82200,-4.0,HOLD,5 - Large
9,CINF,RR PARTNERS LP,SHR,2014-03-31,141007000,2897800,48.0,RR PARTNERS LP,SHR,2013-12-31,92339000,1763200,52.0,1134600,-4.0,HOLD,5 - Large
10,CAH,RR PARTNERS LP,SHR,2014-03-31,118721000,1696500,69.0,RR PARTNERS LP,SHR,2013-12-31,104992000,1571500,66.0,125000,3.0,HOLD,4 - Mid
11,TDY,RR PARTNERS LP,SHR,2014-03-31,103131000,1059600,97.0,RR PARTNERS LP,SHR,2013-12-31,97335000,1059600,91.0,0,6.0,BUY-MORE,4 - Mid
12,OII,RR PARTNERS LP,SHR,2014-03-31,75367000,1048800,71.0,RR PARTNERS LP,SHR,2013-12-31,82729000,1048800,78.0,0,-7.0,SELL-PARTIAL,5 - Large
13,KEX,RR PARTNERS LP,SHR,2014-03-31,70976000,701000,101.0,RR PARTNERS LP,SHR,2013-12-31,69574000,701000,99.0,0,2.0,SELL-PARTIAL,4 - Mid
14,JKHY,RR PARTNERS LP,SHR,2014-03-31,44905000,805322,55.0,RR PARTNERS LP,SHR,2013-12-31,44723000,755322,59.0,50000,-4.0,HOLD,5 - Large
0,LNC,RR PARTNERS LP,SHR,2014-06-30,341484000,6638500,51.0,RR PARTNERS LP,SHR,2014-03-31,351574000,6938500,50.0,-300000,1.0,SELL-PARTIAL,5 - Large
1,HIG,RR PARTNERS LP,SHR,2014-06-30,289860000,8094400,35.0,RR PARTNERS LP,SHR,2014-03-31,281081000,7969400,35.0,125000,0.0,HOLD,5 - Large
2,VLO,RR PARTNERS LP,SHR,2014-06-30,287754000,5743600,50.0,RR PARTNERS LP,SHR,2014-03-31,304985000,5743600,53.0,0,-3.0,HOLD,5 - Large
3,AMP,RR PARTNERS LP,SHR,2014-06-30,279336000,2327800,120.0,RR PARTNERS LP,SHR,2014-03-31,252148000,2290800,110.0,37000,10.0,SELL-PARTIAL,5 - Large
4,PSX,RR PARTNERS LP,SHR,2014-06-30,272075000,3382750,80.0,RR PARTNERS LP,SHR,2014-03-31,259365000,3365750,77.0,17000,3.0,HOLD,5 - Large
5,KR,RR PARTNERS LP,SHR,2014-06-30,240086000,4857100,49.0,RR PARTNERS LP,SHR,2014-03-31,214845000,4922000,43.0,-64900,6.0,SELL-PARTIAL,5 - Large
6,CAM,RR PARTNERS LP,SHR,2014-06-30,217456000,3211581,67.0,RR PARTNERS LP,SHR,2014-03-31,195476000,3164581,61.0,47000,6.0,HOLD,5 - Large
7,HLF,RR PARTNERS LP,SHR,2014-06-30,205502000,3184100,64.0,RR PARTNERS LP,SHR,2014-03-31,182353000,3184100,57.0,0,7.0,SELL-PARTIAL,5 - Large
8,CI,RR PARTNERS LP,SHR,2014-06-30,166015000,1805100,91.0,RR PARTNERS LP,SHR,2014-03-31,151141000,1805100,83.0,0,8.0,HOLD,5 - Large
9,XL,RR PARTNERS LP,SHR,2014-06-30,147763000,4514600,32.0,RR PARTNERS LP,SHR,2014-03-31,140769000,4504600,31.0,10000,1.0,HOLD,5 - Large
10,CAH,RR PARTNERS LP,SHR,2014-06-30,116312000,1696500,68.0,RR PARTNERS LP,SHR,2014-03-31,118721000,1696500,69.0,0,-1.0,HOLD,4 - Mid
11,TDY,RR PARTNERS LP,SHR,2014-06-30,101465000,1044200,97.0,RR PARTNERS LP,SHR,2014-03-31,103131000,1059600,97.0,-15400,0.0,BUY-MORE,4 - Mid
12,CINF,RR PARTNERS LP,SHR,2014-06-30,88201000,1836000,48.0,RR PARTNERS LP,SHR,2014-03-31,141007000,2897800,48.0,-1061800,0.0,SELL-PARTIAL,5 - Large
13,KEX,RR PARTNERS LP,SHR,2014-06-30,65048000,555300,117.0,RR PARTNERS LP,SHR,2014-03-31,70976000,701000,101.0,-145700,16.0,SELL-PARTIAL,4 - Mid
14,JKHY,RR PARTNERS LP,SHR,2014-06-30,48633000,818322,59.0,RR PARTNERS LP,SHR,2014-03-31,44905000,805322,55.0,13000,4.0,HOLD,5 - Large
0,LNC,RR PARTNERS LP,SHR,2014-09-30,355691000,6638500,53.0,RR PARTNERS LP,SHR,2014-06-30,341484000,6638500,51.0,0,2.0,SELL-PARTIAL,5 - Large
1,HIG,RR PARTNERS LP,SHR,2014-09-30,301516000,8094400,37.0,RR PARTNERS LP,SHR,2014-06-30,289860000,8094400,35.0,0,2.0,HOLD,5 - Large
2,AMP,RR PARTNERS LP,SHR,2014-09-30,287204000,2327800,123.0,RR PARTNERS LP,SHR,2014-06-30,279336000,2327800,120.0,0,3.0,HOLD,5 - Large
3,PSX,RR PARTNERS LP,SHR,2014-09-30,275051000,3382750,81.0,RR PARTNERS LP,SHR,2014-06-30,272075000,3382750,80.0,0,1.0,SELL-PARTIAL,5 - Large
4,VLO,RR PARTNERS LP,SHR,2014-09-30,257826000,5572200,46.0,RR PARTNERS LP,SHR,2014-06-30,287754000,5743600,50.0,-171400,-4.0,HOLD,5 - Large
5,KR,RR PARTNERS LP,SHR,2014-09-30,252569000,4857100,51.0,RR PARTNERS LP,SHR,2014-06-30,240086000,4857100,49.0,0,2.0,SELL-PARTIAL,5 - Large
6,CAM,RR PARTNERS LP,SHR,2014-09-30,213185000,3211581,66.0,RR PARTNERS LP,SHR,2014-06-30,217456000,3211581,67.0,0,-1.0,HOLD,5 - Large
7,CI,RR PARTNERS LP,SHR,2014-09-30,163705000,1805100,90.0,RR PARTNERS LP,SHR,2014-06-30,166015000,1805100,91.0,0,-1.0,SELL-PARTIAL,5 - Large
8,XL,RR PARTNERS LP,SHR,2014-09-30,149749000,4514600,33.0,RR PARTNERS LP,SHR,2014-06-30,147763000,4514600,32.0,0,1.0,HOLD,5 - Large
9,HLF,RR PARTNERS LP,SHR,2014-09-30,139304000,3184100,43.0,RR PARTNERS LP,SHR,2014-06-30,205502000,3184100,64.0,0,-21.0,HOLD,5 - Large
10,CAH,RR PARTNERS LP,SHR,2014-09-30,127102000,1696500,74.0,RR PARTNERS LP,SHR,2014-06-30,116312000,1696500,68.0,0,6.0,HOLD,4 - Mid
11,CNX,RR PARTNERS LP,SHR,2014-09-30,126339000,3337000,37.0,RR PARTNERS LP,SHR,2014-06-30,148438000,3222000,46.0,115000,-9.0,BUY-MORE,4 - Mid
12,TDY,RR PARTNERS LP,SHR,2014-09-30,83199000,885000,94.0,RR PARTNERS LP,SHR,2014-06-30,101465000,1044200,97.0,-159200,-3.0,SELL-PARTIAL,5 - Large
13,KEX,RR PARTNERS LP,SHR,2014-09-30,65442000,555300,117.0,RR PARTNERS LP,SHR,2014-06-30,65048000,555300,117.0,0,0.0,SELL-PARTIAL,4 - Mid
14,JKHY,RR PARTNERS LP,SHR,2014-09-30,45548000,818322,55.0,RR PARTNERS LP,SHR,2014-06-30,48633000,818322,59.0,0,-4.0,HOLD,5 - Large
15,CINF,RR PARTNERS LP,SHR,2014-09-30,34855000,740800,47.0,RR PARTNERS LP,SHR,2014-06-30,88201000,1836000,48.0,-1095200,-1.0,HOLD,4 - Mid
0,LNC,RR PARTNERS LP,SHR,2014-12-31,381977000,6623500,57.0,RR PARTNERS LP,SHR,2014-09-30,355691000,6638500,53.0,-15000,4.0,SELL-PARTIAL,5 - Large
1,HIG,RR PARTNERS LP,SHR,2014-12-31,343167000,8231400,41.0,RR PARTNERS LP,SHR,2014-09-30,301516000,8094400,37.0,137000,4.0,HOLD,5 - Large
2,KR,RR PARTNERS LP,SHR,2014-12-31,303527000,4727100,64.0,RR PARTNERS LP,SHR,2014-09-30,252569000,4857100,51.0,-130000,13.0,HOLD,5 - Large
3,PSX,RR PARTNERS LP,SHR,2014-12-31,242543000,3382750,71.0,RR PARTNERS LP,SHR,2014-09-30,275051000,3382750,81.0,0,-10.0,SELL-PARTIAL,5 - Large
4,VLO,RR PARTNERS LP,SHR,2014-12-31,188461000,3807300,49.0,RR PARTNERS LP,SHR,2014-09-30,257826000,5572200,46.0,-1764900,3.0,HOLD,5 - Large
5,CI,RR PARTNERS LP,SHR,2014-12-31,179280000,1742100,102.0,RR PARTNERS LP,SHR,2014-09-30,163705000,1805100,90.0,-63000,12.0,SELL-PARTIAL,5 - Large
6,CAM,RR PARTNERS LP,SHR,2014-12-31,167411000,3351581,49.0,RR PARTNERS LP,SHR,2014-09-30,213185000,3211581,66.0,140000,-17.0,HOLD,5 - Large
7,XL,RR PARTNERS LP,SHR,2014-12-31,164203000,4777500,34.0,RR PARTNERS LP,SHR,2014-09-30,149749000,4514600,33.0,262900,1.0,SELL-PARTIAL,5 - Large
8,CAH,RR PARTNERS LP,SHR,2014-12-31,136103000,1685900,80.0,RR PARTNERS LP,SHR,2014-09-30,127102000,1696500,74.0,-10600,6.0,HOLD,5 - Large
9,HLF,RR PARTNERS LP,SHR,2014-12-31,120041000,3184100,37.0,RR PARTNERS LP,SHR,2014-09-30,139304000,3184100,43.0,0,-6.0,HOLD,5 - Large
10,CNX,RR PARTNERS LP,SHR,2014-12-31,118856000,3515400,33.0,RR PARTNERS LP,SHR,2014-09-30,126339000,3337000,37.0,178400,-4.0,HOLD,4 - Mid
11,SNA,RR PARTNERS LP,SHR,2014-12-31,94433000,690600,136.0,RR PARTNERS LP,SHR,2014-09-30,27933000,230700,121.0,459900,15.0,BUY-MORE,4 - Mid
12,TDY,RR PARTNERS LP,SHR,2014-12-31,86189000,838900,102.0,RR PARTNERS LP,SHR,2014-09-30,83199000,885000,94.0,-46100,8.0,SELL-PARTIAL,5 - Large
13,AMP,RR PARTNERS LP,SHR,2014-12-31,84247000,637025,132.0,RR PARTNERS LP,SHR,2014-09-30,287204000,2327800,123.0,-1690775,9.0,SELL-PARTIAL,4 - Mid
14,TPH,RR PARTNERS LP,SHR,2014-12-31,70890000,4648556,15.0,RR PARTNERS LP,SHR,2014-09-30,59894000,4628556,12.0,20000,3.0,HOLD,5 - Large
15,JKHY,RR PARTNERS LP,SHR,2014-12-31,50851000,818322,62.0,RR PARTNERS LP,SHR,2014-09-30,45548000,818322,55.0,0,7.0,HOLD,4 - Mid
