,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BND,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,2866318000,34615284,82.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,3336551000,41314409,80.0,-6699125,2.0,,
1,VTI,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,1688503000,16108599,104.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,2086280000,20002688,104.0,-3894089,0.0,,
2,VOO,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,1152305000,6111081,188.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,1257498000,6727107,186.0,-616026,2.0,,
3,SHV,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,674792000,6114466,110.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,211789000,1921514,110.0,4192952,0.0,,
4,AGG,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,566580000,5112390,110.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,228467000,2115240,108.0,2997150,2.0,,
5,SCHB,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,258052000,5236450,49.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,179694000,3664251,49.0,1572199,0.0,,
6,VXUS,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,247783000,5516114,44.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,104766000,2322478,45.0,3193636,-1.0,,
7,VEU,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,247405000,5733615,43.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,104385000,2404653,43.0,3328962,0.0,,
8,BSV,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,201226000,2495672,80.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,198580000,2495672,79.0,0,1.0,,
9,VWO,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,186127000,5382512,34.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,233636000,7142674,32.0,-1760162,2.0,,
10,VMBS,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,158694000,2967911,53.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,156468000,2967911,52.0,0,1.0,,
11,BIV,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,118024000,1368084,86.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2015-12-31,103416000,1245085,83.0,122999,3.0,,
0,BND,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,2772670000,32890516,84.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,2866318000,34615284,82.0,-1724768,2.0,,
1,VTI,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,1462992000,13652411,107.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,1688503000,16108599,104.0,-2456188,3.0,,
2,VOO,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,1001333000,5209850,192.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,1152305000,6111081,188.0,-901231,4.0,,
3,VEA,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,748545000,21169263,35.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,862542000,24039635,35.0,-2870372,0.0,,
4,AGG,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,730118000,6483317,112.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,566580000,5112390,110.0,1370927,2.0,,
5,SHV,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,599964000,5432000,110.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,674792000,6114466,110.0,-682466,0.0,,
6,ITOT,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,262792000,2758976,95.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,299061000,3203315,93.0,-444339,2.0,,
7,SCHB,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,236954000,4710824,50.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,258052000,5236450,49.0,-525626,1.0,,
8,VO,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,223606000,1808676,123.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,259149000,2137670,121.0,-328994,2.0,,
9,VEU,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,218202000,5092237,42.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,247405000,5733615,43.0,-641378,-1.0,,
10,BSV,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,202299000,2495672,81.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,201226000,2495672,80.0,0,1.0,,
11,VWO,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,167418000,4752152,35.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,186127000,5382512,34.0,-630360,1.0,,
12,VMBS,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-06-30,159822000,2967911,53.0,MILLIMAN FINANCIAL RISK MANAGEMENT LLC,FND,2016-03-31,158694000,2967911,53.0,0,0.0,,
