,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,TT,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,86882000,1337878,64.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,81569000,1469178,55.0,-131300,9.0,SELL-PARTIAL,5 - Large
1,SBUX,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,77782000,1010556,76.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,73152000,1116656,65.0,-106100,11.0,BUY-MORE,5 - Large
2,TK,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,74989000,1754127,42.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,78372000,1928927,40.0,-174800,2.0,SELL-PARTIAL,5 - Large
3,OIS,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,71839000,694368,103.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,62816000,678068,92.0,16300,11.0,SELL-PARTIAL,5 - Large
4,OIS,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,71839000,694368,103.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-06-30,463000,5000,92.0,689368,11.0,SELL-PARTIAL,4 - Mid
5,UHS,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,69865000,931656,74.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,68825000,1027856,66.0,-96200,8.0,BUY-MORE,5 - Large
6,LVS,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,69713000,1049584,66.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,52675000,995184,52.0,54400,14.0,SELL-PARTIAL,4 - Mid
7,TWC,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,67362000,603600,111.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,56971000,506500,112.0,97100,-1.0,BUY-MORE,4 - Mid
8,TWC,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,55811000,500100,111.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,56971000,506500,112.0,-6400,-1.0,SELL-PARTIAL,4 - Mid
9,ABC,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,66342000,1085794,61.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,66973000,1199594,55.0,-113800,6.0,SELL-PARTIAL,4 - Mid
10,EXPE,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,62488000,1206100,51.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,35001000,581900,60.0,624200,-9.0,BUY-MORE,4 - Mid
11,EXPE,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,62488000,1206100,51.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-06-30,799000,13280,60.0,1192820,-9.0,HOLD,3 - Small
12,EXPE,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,12393000,239200,51.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,35001000,581900,60.0,-342700,-9.0,BUY-MORE,4 - Mid
13,EXPE,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,12393000,239200,51.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-06-30,799000,13280,60.0,225920,-9.0,BUY-MORE,4 - Mid
14,MLM,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,62054000,632105,98.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,59397000,603505,98.0,28600,0.0,BUY-MORE,3 - Small
15,QRTEA,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,61813000,701064,88.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,65803000,774064,85.0,-73000,3.0,BUY-MORE,3 - Small
16,ABBV,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,57720000,1290400,44.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,38785000,938200,41.0,352200,3.0,SELL-PARTIAL,4 - Mid
17,ABBV,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,57720000,1290400,44.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-06-30,1199000,29000,41.0,1261400,3.0,BUY-MORE,3 - Small
18,HAL,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,48384000,1004855,48.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,68190000,1634479,41.0,-629624,7.0,BUY-MORE,3 - Small
19,HAL,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,48384000,1004855,48.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-06-30,160000,3829,41.0,1001026,7.0,HOLD,3 - Small
20,NAV,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,41543000,1138800,36.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,16656000,600000,27.0,538800,9.0,HOLD,3 - Small
21,NWSA,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,10404000,647800,16.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,114928000,3527573,32.0,-2879773,-16.0,SELL-PARTIAL,4 - Mid
22,NWSA,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,10404000,647800,16.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-06-30,844000,25912,32.0,621888,-16.0,BUY-MORE,3 - Small
23,SHPG,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,5861000,48888,119.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-06-30,5125000,53888,95.0,-5000,24.0,SELL-PARTIAL,3 - Small
0,CMCSK,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,130531000,2511900,51.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,42859000,950000,45.0,1561900,6.0,SELL-PARTIAL,5 - Large
1,LVS,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,106126000,1345584,78.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,69713000,1049584,66.0,296000,12.0,BUY-MORE,5 - Large
2,TK,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,91351000,1902748,48.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,74989000,1754127,42.0,148621,6.0,SELL-PARTIAL,5 - Large
3,TT,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,90243000,1464978,61.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,86882000,1337878,64.0,127100,-3.0,SELL-PARTIAL,5 - Large
4,QRTEA,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,87427000,713164,122.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,61813000,701064,88.0,12100,34.0,SELL-PARTIAL,4 - Mid
5,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,84232000,2395000,35.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,78883000,2354000,33.0,41000,2.0,BUY-MORE,5 - Large
6,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,84232000,2395000,35.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,66021000,1970200,33.0,424800,2.0,SELL-PARTIAL,4 - Mid
7,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,71012000,2019100,35.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,78883000,2354000,33.0,-334900,2.0,BUY-MORE,4 - Mid
8,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,71012000,2019100,35.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,66021000,1970200,33.0,48900,2.0,SELL-PARTIAL,4 - Mid
9,TWC,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,83333000,615000,135.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,67362000,603600,111.0,11400,24.0,SELL-PARTIAL,4 - Mid
10,TWC,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,83333000,615000,135.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,55811000,500100,111.0,114900,24.0,BUY-MORE,4 - Mid
11,TWC,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,51571000,380600,135.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,67362000,603600,111.0,-223000,24.0,HOLD,3 - Small
12,TWC,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,51571000,380600,135.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,55811000,500100,111.0,-119500,24.0,BUY-MORE,4 - Mid
13,SBUX,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,80558000,1027656,78.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,77782000,1010556,76.0,17100,2.0,BUY-MORE,4 - Mid
14,UHS,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,77080000,948556,81.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,69865000,931656,74.0,16900,7.0,BUY-MORE,3 - Small
15,TXT,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,70144000,1908155,36.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,51026000,1848100,27.0,60055,9.0,BUY-MORE,3 - Small
16,HAL,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,69789000,1375155,50.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,48384000,1004855,48.0,370300,2.0,SELL-PARTIAL,4 - Mid
17,HAL,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,29182000,575000,50.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,48384000,1004855,48.0,-429855,2.0,BUY-MORE,3 - Small
18,ABBV,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,68315000,1293600,52.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,57720000,1290400,44.0,3200,8.0,BUY-MORE,3 - Small
19,ABBV,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,1785000,33800,52.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,57720000,1290400,44.0,-1256600,8.0,HOLD,3 - Small
20,MLM,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,65031000,650705,99.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,62054000,632105,98.0,18600,1.0,HOLD,3 - Small
21,HUN,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,61773000,2511100,24.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,49664000,2409700,20.0,101400,4.0,SELL-PARTIAL,4 - Mid
22,OIS,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,42251000,415368,101.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,71839000,694368,103.0,-279000,-2.0,BUY-MORE,3 - Small
23,NAV,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,25950000,679500,38.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,41543000,1138800,36.0,-459300,2.0,SELL-PARTIAL,3 - Small
24,NWSA,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,11673000,647800,18.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-09-30,10404000,647800,16.0,0,2.0,SELL-PARTIAL,5 - Large
25,SHPG,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,7091000,50188,141.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,5861000,48888,119.0,1300,22.0,HOLD,4 - Mid
26,MGAM,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,1279000,40800,31.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,850000,24600,34.0,16200,-3.0,HOLD,4 - Mid
27,AMGN,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,1255000,11000,114.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-09-30,80843000,722300,111.0,-711300,3.0,BUY-MORE,5 - Large
0,AMGN,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,107626000,872600,123.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,1255000,11000,114.0,861600,9.0,SELL-PARTIAL,5 - Large
1,AMGN,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,15788000,128000,123.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,1255000,11000,114.0,117000,9.0,BUY-MORE,5 - Large
2,ABBV,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,106362000,2069300,51.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,68315000,1293600,52.0,775700,-1.0,SELL-PARTIAL,5 - Large
3,ABBV,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,106362000,2069300,51.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,1785000,33800,52.0,2035500,-1.0,SELL-PARTIAL,5 - Large
4,CMCSK,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,103818000,2074700,50.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,130531000,2511900,51.0,-437200,-1.0,SELL-PARTIAL,4 - Mid
5,TK,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,91623000,1629148,56.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,91351000,1902748,48.0,-273600,8.0,BUY-MORE,5 - Large
6,HUN,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,87485000,3582500,24.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,61773000,2511100,24.0,1071400,0.0,SELL-PARTIAL,4 - Mid
7,HUN,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,21490000,880000,24.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,61773000,2511100,24.0,-1631100,0.0,BUY-MORE,4 - Mid
8,UHS,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,80638000,982556,82.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,77080000,948556,81.0,34000,1.0,SELL-PARTIAL,4 - Mid
9,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,80360000,2513600,31.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,84232000,2395000,35.0,118600,-4.0,SELL-PARTIAL,4 - Mid
10,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,80360000,2513600,31.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,71012000,2019100,35.0,494500,-4.0,BUY-MORE,4 - Mid
11,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,19821000,620000,31.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,84232000,2395000,35.0,-1775000,-4.0,HOLD,3 - Small
12,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,19821000,620000,31.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,71012000,2019100,35.0,-1399100,-4.0,BUY-MORE,4 - Mid
13,QRTEA,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,77554000,595061,130.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,87427000,713164,122.0,-118103,8.0,BUY-MORE,4 - Mid
14,HAL,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,74705000,1268555,58.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,69789000,1375155,50.0,-106600,8.0,BUY-MORE,3 - Small
15,HAL,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,74705000,1268555,58.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,29182000,575000,50.0,693555,8.0,BUY-MORE,3 - Small
16,HAL,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,32672000,554800,58.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,69789000,1375155,50.0,-820355,8.0,SELL-PARTIAL,4 - Mid
17,HAL,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,32672000,554800,58.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2013-12-31,29182000,575000,50.0,-20200,8.0,BUY-MORE,3 - Small
18,TXT,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,69934000,1779955,39.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,70144000,1908155,36.0,-128200,3.0,BUY-MORE,3 - Small
19,MLM,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,67975000,529605,128.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,65031000,650705,99.0,-121100,29.0,HOLD,3 - Small
20,QEP,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,54791000,1861100,29.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,52994000,1729000,30.0,132100,-1.0,HOLD,3 - Small
21,QEP,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,14879000,505400,29.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,52994000,1729000,30.0,-1223600,-1.0,SELL-PARTIAL,4 - Mid
22,LVS,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,52813000,653784,80.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,106126000,1345584,78.0,-691800,2.0,BUY-MORE,3 - Small
23,MGM,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,50411000,1949400,25.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,46635000,1982800,23.0,-33400,2.0,SELL-PARTIAL,3 - Small
24,OIS,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,19030000,193000,98.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,42251000,415368,101.0,-222368,-3.0,SELL-PARTIAL,5 - Large
25,SHPG,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,10217000,68788,148.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,7091000,50188,141.0,18600,7.0,HOLD,4 - Mid
26,NAV,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,1131000,33400,33.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2013-12-31,25950000,679500,38.0,-646100,-5.0,HOLD,4 - Mid
0,ABBV,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,127656000,2261800,56.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,106362000,2069300,51.0,192500,5.0,SELL-PARTIAL,5 - Large
1,AMGN,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-06-30,123614000,1044300,118.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,107626000,872600,123.0,171700,-5.0,BUY-MORE,5 - Large
2,AMGN,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-06-30,123614000,1044300,118.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,15788000,128000,123.0,916300,-5.0,SELL-PARTIAL,5 - Large
3,AMGN,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,15512000,131050,118.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,107626000,872600,123.0,-741550,-5.0,SELL-PARTIAL,5 - Large
4,AMGN,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,15512000,131050,118.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,15788000,128000,123.0,3050,-5.0,SELL-PARTIAL,4 - Mid
5,HUN,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,105184000,3743200,28.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,87485000,3582500,24.0,160700,4.0,BUY-MORE,5 - Large
6,HUN,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,105184000,3743200,28.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,21490000,880000,24.0,2863200,4.0,SELL-PARTIAL,4 - Mid
7,HUN,HIGHLINE CAPITAL MANAGEMENT LP,PUT,2014-06-30,66878000,2380000,28.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,87485000,3582500,24.0,-1202500,4.0,BUY-MORE,4 - Mid
8,HUN,HIGHLINE CAPITAL MANAGEMENT LP,PUT,2014-06-30,66878000,2380000,28.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,21490000,880000,24.0,1500000,4.0,SELL-PARTIAL,4 - Mid
9,HUN,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-06-30,24911000,886500,28.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,87485000,3582500,24.0,-2696000,4.0,SELL-PARTIAL,4 - Mid
10,HUN,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-06-30,24911000,886500,28.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,21490000,880000,24.0,6500,4.0,BUY-MORE,4 - Mid
11,UHS,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,96129000,1003856,95.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,80638000,982556,82.0,21300,13.0,HOLD,3 - Small
12,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,93590000,2662600,35.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,80360000,2513600,31.0,149000,4.0,BUY-MORE,4 - Mid
13,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,93590000,2662600,35.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,19821000,620000,31.0,2042600,4.0,BUY-MORE,4 - Mid
14,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-06-30,35150000,1000000,35.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,80360000,2513600,31.0,-1513600,4.0,BUY-MORE,3 - Small
15,TFCF,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-06-30,35150000,1000000,35.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,19821000,620000,31.0,380000,4.0,BUY-MORE,3 - Small
16,CHTRQ,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,86412000,545600,158.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,65912000,535000,123.0,10600,35.0,SELL-PARTIAL,4 - Mid
17,CHTRQ,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-06-30,40102000,253200,158.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,65912000,535000,123.0,-281800,35.0,BUY-MORE,3 - Small
18,TK,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,82129000,1319348,62.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,91623000,1629148,56.0,-309800,6.0,BUY-MORE,3 - Small
19,CMCSK,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,70678000,1316660,53.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,103818000,2074700,50.0,-758040,3.0,HOLD,3 - Small
20,MLM,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,66131000,500800,132.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,67975000,529605,128.0,-28805,4.0,HOLD,3 - Small
21,TXT,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,61086000,1595355,38.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,69934000,1779955,39.0,-184600,-1.0,SELL-PARTIAL,4 - Mid
22,WOOF,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,57779000,1646600,35.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,34003000,1055000,32.0,591600,3.0,BUY-MORE,3 - Small
23,SIG,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,57119000,516492,110.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,48484000,458000,105.0,58492,5.0,SELL-PARTIAL,3 - Small
24,KMT,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,56887000,1229200,46.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,42900000,968400,44.0,260800,2.0,SELL-PARTIAL,5 - Large
25,HAL,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,56808000,800000,71.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,74705000,1268555,58.0,-468555,13.0,HOLD,4 - Mid
26,HAL,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,56808000,800000,71.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-03-31,32672000,554800,58.0,245200,13.0,HOLD,4 - Mid
27,CCK,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,5031000,101100,49.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,4474000,100000,44.0,1100,5.0,BUY-MORE,5 - Large
28,SHPG,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,2920000,12400,235.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-03-31,10217000,68788,148.0,-56388,87.0,BUY-MORE,5 - Large
0,HUN,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-09-30,145310000,5591000,25.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,105184000,3743200,28.0,1847800,-3.0,SELL-PARTIAL,5 - Large
1,HUN,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-09-30,145310000,5591000,25.0,HIGHLINE CAPITAL MANAGEMENT LP,PUT,2014-06-30,66878000,2380000,28.0,3211000,-3.0,BUY-MORE,5 - Large
2,HUN,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-09-30,145310000,5591000,25.0,HIGHLINE CAPITAL MANAGEMENT LP,CLL,2014-06-30,24911000,886500,28.0,4704500,-3.0,SELL-PARTIAL,5 - Large
3,HUN,HIGHLINE CAPITAL MANAGEMENT LP,PUT,2014-09-30,61856000,2380000,25.0,HIGHLINE CAPITAL MANAGEMENT LP,SHR,2014-06-30,105184000,3743200,28.0,-1363200,-3.0,SELL-PARTIAL,5 - Large
4,HUN,HIGHLINE CAPITAL MANAGEMENT LP,PUT,2014-09-30,61856000,2380000,25.0,HIGHLINE CAPITAL MANAGEMENT LP,PUT,2014-06-30,66878000,2380000,28.0,0,-3.0,SELL-PARTIAL,4 - Mid
