,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,APC,CARMIGNAC GESTION,SHR,2013-09-30,1258675000,13535600,92.0,CARMIGNAC GESTION,SHR,2013-06-30,1177309000,13700787,85.0,-165187,7.0,SELL-PARTIAL,5 - Large
1,BIDU,CARMIGNAC GESTION,SHR,2013-09-30,995491000,6415070,155.0,CARMIGNAC GESTION,SHR,2013-06-30,659402000,6970277,94.0,-555207,61.0,BUY-MORE,6 - Mega
2,YUM,CARMIGNAC GESTION,SHR,2013-09-30,994275000,13927373,71.0,CARMIGNAC GESTION,SHR,2013-06-30,976305000,14079967,69.0,-152594,2.0,BUY-MORE,6 - Mega
3,BAC,CARMIGNAC GESTION,SHR,2013-09-30,810060000,58700000,13.0,CARMIGNAC GESTION,SHR,2013-06-30,764076000,59414938,12.0,-714938,1.0,BUY-MORE,5 - Large
4,SLB,CARMIGNAC GESTION,SHR,2013-09-30,749922000,8487117,88.0,CARMIGNAC GESTION,SHR,2013-06-30,595763000,8313744,71.0,173373,17.0,SELL-PARTIAL,5 - Large
5,CELG,CARMIGNAC GESTION,SHR,2013-09-30,722825000,4689500,154.0,CARMIGNAC GESTION,SHR,2013-06-30,554616000,4741114,116.0,-51614,38.0,SELL-PARTIAL,5 - Large
6,LVS,CARMIGNAC GESTION,SHR,2013-09-30,704453000,10606041,66.0,CARMIGNAC GESTION,SHR,2013-06-30,691061000,13056126,52.0,-2450085,14.0,SELL-PARTIAL,5 - Large
7,AIG,CARMIGNAC GESTION,SHR,2013-09-30,641187000,13185000,48.0,CARMIGNAC GESTION,SHR,2013-06-30,596506000,13344650,44.0,-159650,4.0,BUY-MORE,5 - Large
8,LYB,CARMIGNAC GESTION,SHR,2013-09-30,626409000,8554000,73.0,CARMIGNAC GESTION,SHR,2013-06-30,493456000,7447271,66.0,1106729,7.0,SELL-PARTIAL,5 - Large
9,CLB,CARMIGNAC GESTION,SHR,2013-09-30,571541000,3377700,169.0,CARMIGNAC GESTION,SHR,2013-06-30,521967000,3441689,151.0,-63989,18.0,SELL-PARTIAL,5 - Large
10,CAM,CARMIGNAC GESTION,SHR,2013-09-30,543103000,9304495,58.0,CARMIGNAC GESTION,SHR,2013-06-30,409350000,6693104,61.0,2611391,-3.0,SELL-PARTIAL,5 - Large
11,ICE,CARMIGNAC GESTION,SHR,2013-09-30,524115000,2888958,181.0,CARMIGNAC GESTION,SHR,2013-06-30,448886000,2525239,177.0,363719,4.0,SELL-PARTIAL,5 - Large
12,HAL,CARMIGNAC GESTION,SHR,2013-09-30,484023000,10052400,48.0,CARMIGNAC GESTION,SHR,2013-06-30,424152000,10166625,41.0,-114225,7.0,BUY-MORE,5 - Large
13,CHKP,CARMIGNAC GESTION,SHR,2013-09-30,424807000,7510727,56.0,CARMIGNAC GESTION,SHR,2013-06-30,375957000,7567578,49.0,-56851,7.0,SELL-PARTIAL,5 - Large
14,BSMX,CARMIGNAC GESTION,SHR,2013-09-30,413041000,29887227,13.0,CARMIGNAC GESTION,SHR,2013-06-30,425879000,29970365,14.0,-83138,-1.0,BUY-MORE,6 - Mega
15,CBD,CARMIGNAC GESTION,SHR,2013-09-30,401659000,8727916,46.0,CARMIGNAC GESTION,SHR,2013-06-30,400627000,8812747,45.0,-84831,1.0,BUY-MORE,5 - Large
16,CME,CARMIGNAC GESTION,SHR,2013-09-30,318626000,4312752,73.0,CARMIGNAC GESTION,SHR,2013-06-30,331280000,4361821,75.0,-49069,-2.0,BUY-MORE,5 - Large
17,CMCSK,CARMIGNAC GESTION,SHR,2013-09-30,304075000,6740000,45.0,CARMIGNAC GESTION,SHR,2013-06-30,284820000,6822045,41.0,-82045,4.0,SELL-PARTIAL,6 - Mega
18,MJN,CARMIGNAC GESTION,SHR,2013-09-30,296824000,3997093,74.0,CARMIGNAC GESTION,SHR,2013-06-30,278775000,3518559,79.0,478534,-5.0,SELL-PARTIAL,5 - Large
19,VLO,CARMIGNAC GESTION,SHR,2013-09-30,273029000,7995000,34.0,CARMIGNAC GESTION,SHR,2013-06-30,270055000,7766885,34.0,228115,0.0,SELL-PARTIAL,5 - Large
20,HOT,CARMIGNAC GESTION,SHR,2013-09-30,182372000,2744500,66.0,CARMIGNAC GESTION,SHR,2013-06-30,143299000,2267746,63.0,476754,3.0,SELL-PARTIAL,5 - Large
0,BIDU,CARMIGNAC GESTION,SHR,2013-12-31,1120072000,6296784,177.0,CARMIGNAC GESTION,SHR,2013-09-30,995491000,6415070,155.0,-118286,22.0,SELL-PARTIAL,5 - Large
1,YUM,CARMIGNAC GESTION,SHR,2013-12-31,1052327000,13917824,75.0,CARMIGNAC GESTION,SHR,2013-09-30,994275000,13927373,71.0,-9549,4.0,BUY-MORE,6 - Mega
2,BAC,CARMIGNAC GESTION,SHR,2013-12-31,910244000,58461392,15.0,CARMIGNAC GESTION,SHR,2013-09-30,810060000,58700000,13.0,-238608,2.0,BUY-MORE,6 - Mega
3,CMCSK,CARMIGNAC GESTION,SHR,2013-12-31,812942000,15644036,51.0,CARMIGNAC GESTION,SHR,2013-09-30,304075000,6740000,45.0,8904036,6.0,BUY-MORE,5 - Large
4,AIG,CARMIGNAC GESTION,SHR,2013-12-31,707905000,13866893,51.0,CARMIGNAC GESTION,SHR,2013-09-30,641187000,13185000,48.0,681893,3.0,SELL-PARTIAL,5 - Large
5,LVS,CARMIGNAC GESTION,SHR,2013-12-31,702320000,8904781,78.0,CARMIGNAC GESTION,SHR,2013-09-30,704453000,10606041,66.0,-1701260,12.0,SELL-PARTIAL,5 - Large
6,APC,CARMIGNAC GESTION,SHR,2013-12-31,691644000,8719662,79.0,CARMIGNAC GESTION,SHR,2013-09-30,1258675000,13535600,92.0,-4815938,-13.0,SELL-PARTIAL,5 - Large
7,BSMX,CARMIGNAC GESTION,SHR,2013-12-31,691562000,50701017,13.0,CARMIGNAC GESTION,SHR,2013-09-30,413041000,29887227,13.0,20813790,0.0,BUY-MORE,5 - Large
8,CELG,CARMIGNAC GESTION,SHR,2013-12-31,687196000,4067018,168.0,CARMIGNAC GESTION,SHR,2013-09-30,722825000,4689500,154.0,-622482,14.0,SELL-PARTIAL,5 - Large
9,LYB,CARMIGNAC GESTION,SHR,2013-12-31,683038000,8508200,80.0,CARMIGNAC GESTION,SHR,2013-09-30,626409000,8554000,73.0,-45800,7.0,SELL-PARTIAL,5 - Large
10,GOOGL,CARMIGNAC GESTION,SHR,2013-12-31,653289000,582924,1120.0,CARMIGNAC GESTION,SHR,2013-09-30,334602000,382005,875.0,200919,245.0,SELL-PARTIAL,5 - Large
11,ICE,CARMIGNAC GESTION,SHR,2013-12-31,645986000,2872070,224.0,CARMIGNAC GESTION,SHR,2013-09-30,524115000,2888958,181.0,-16888,43.0,SELL-PARTIAL,5 - Large
12,CLB,CARMIGNAC GESTION,SHR,2013-12-31,599064000,3137284,190.0,CARMIGNAC GESTION,SHR,2013-09-30,571541000,3377700,169.0,-240416,21.0,BUY-MORE,5 - Large
13,SLB,CARMIGNAC GESTION,SHR,2013-12-31,534091000,5927105,90.0,CARMIGNAC GESTION,SHR,2013-09-30,749922000,8487117,88.0,-2560012,2.0,SELL-PARTIAL,5 - Large
14,CHKP,CARMIGNAC GESTION,SHR,2013-12-31,473425000,7340035,64.0,CARMIGNAC GESTION,SHR,2013-09-30,424807000,7510727,56.0,-170692,8.0,BUY-MORE,6 - Mega
15,CBD,CARMIGNAC GESTION,SHR,2013-12-31,374214000,8377301,44.0,CARMIGNAC GESTION,SHR,2013-09-30,401659000,8727916,46.0,-350615,-2.0,BUY-MORE,5 - Large
16,TROW,CARMIGNAC GESTION,SHR,2013-12-31,343043000,4095060,83.0,CARMIGNAC GESTION,SHR,2013-09-30,261825000,3640000,71.0,455060,12.0,BUY-MORE,5 - Large
17,CME,CARMIGNAC GESTION,SHR,2013-12-31,338465000,4313852,78.0,CARMIGNAC GESTION,SHR,2013-09-30,318626000,4312752,73.0,1100,5.0,SELL-PARTIAL,6 - Mega
18,PX,CARMIGNAC GESTION,SHR,2013-12-31,319965000,2460700,130.0,CARMIGNAC GESTION,SHR,2013-09-30,295717000,2460000,120.0,700,10.0,SELL-PARTIAL,5 - Large
19,HOT,CARMIGNAC GESTION,SHR,2013-12-31,257447000,3240365,79.0,CARMIGNAC GESTION,SHR,2013-09-30,182372000,2744500,66.0,495865,13.0,SELL-PARTIAL,5 - Large
0,BAC,CARMIGNAC GESTION,SHR,2014-03-31,917021000,53315153,17.0,CARMIGNAC GESTION,SHR,2013-12-31,910244000,58461392,15.0,-5146239,2.0,SELL-PARTIAL,5 - Large
1,CMCSK,CARMIGNAC GESTION,SHR,2014-03-31,813072000,16248441,50.0,CARMIGNAC GESTION,SHR,2013-12-31,812942000,15644036,51.0,604405,-1.0,BUY-MORE,6 - Mega
2,LYB,CARMIGNAC GESTION,SHR,2014-03-31,733865000,8251241,88.0,CARMIGNAC GESTION,SHR,2013-12-31,683038000,8508200,80.0,-256959,8.0,BUY-MORE,6 - Mega
3,AIG,CARMIGNAC GESTION,SHR,2014-03-31,686084000,13718935,50.0,CARMIGNAC GESTION,SHR,2013-12-31,707905000,13866893,51.0,-147958,-1.0,BUY-MORE,5 - Large
4,APC,CARMIGNAC GESTION,SHR,2014-03-31,670673000,7912613,84.0,CARMIGNAC GESTION,SHR,2013-12-31,691644000,8719662,79.0,-807049,5.0,SELL-PARTIAL,5 - Large
5,YUM,CARMIGNAC GESTION,SHR,2014-03-31,655761000,8698248,75.0,CARMIGNAC GESTION,SHR,2013-12-31,1052327000,13917824,75.0,-5219576,0.0,SELL-PARTIAL,5 - Large
6,BIDU,CARMIGNAC GESTION,SHR,2014-03-31,615331000,4041053,152.0,CARMIGNAC GESTION,SHR,2013-12-31,1120072000,6296784,177.0,-2255731,-25.0,SELL-PARTIAL,5 - Large
7,GOOGL,CARMIGNAC GESTION,SHR,2014-03-31,606230000,543943,1114.0,CARMIGNAC GESTION,SHR,2013-12-31,653289000,582924,1120.0,-38981,-6.0,BUY-MORE,5 - Large
8,BSMX,CARMIGNAC GESTION,SHR,2014-03-31,606229000,49327052,12.0,CARMIGNAC GESTION,SHR,2013-12-31,691562000,50701017,13.0,-1373965,-1.0,SELL-PARTIAL,5 - Large
9,CLB,CARMIGNAC GESTION,SHR,2014-03-31,604227000,3044887,198.0,CARMIGNAC GESTION,SHR,2013-12-31,599064000,3137284,190.0,-92397,8.0,SELL-PARTIAL,5 - Large
10,SLB,CARMIGNAC GESTION,SHR,2014-03-31,569806000,5844161,97.0,CARMIGNAC GESTION,SHR,2013-12-31,534091000,5927105,90.0,-82944,7.0,SELL-PARTIAL,5 - Large
11,ICE,CARMIGNAC GESTION,SHR,2014-03-31,561865000,2840142,197.0,CARMIGNAC GESTION,SHR,2013-12-31,645986000,2872070,224.0,-31928,-27.0,SELL-PARTIAL,5 - Large
12,CELG,CARMIGNAC GESTION,SHR,2014-03-31,561817000,4024477,139.0,CARMIGNAC GESTION,SHR,2013-12-31,687196000,4067018,168.0,-42541,-29.0,BUY-MORE,5 - Large
13,CHKP,CARMIGNAC GESTION,SHR,2014-03-31,478242000,7071444,67.0,CARMIGNAC GESTION,SHR,2013-12-31,473425000,7340035,64.0,-268591,3.0,SELL-PARTIAL,5 - Large
14,LVS,CARMIGNAC GESTION,SHR,2014-03-31,413775000,5122241,80.0,CARMIGNAC GESTION,SHR,2013-12-31,702320000,8904781,78.0,-3782540,2.0,BUY-MORE,6 - Mega
15,TROW,CARMIGNAC GESTION,SHR,2014-03-31,372964000,4529006,82.0,CARMIGNAC GESTION,SHR,2013-12-31,343043000,4095060,83.0,433946,-1.0,BUY-MORE,5 - Large
16,PX,CARMIGNAC GESTION,SHR,2014-03-31,372875000,2847025,130.0,CARMIGNAC GESTION,SHR,2013-12-31,319965000,2460700,130.0,386325,0.0,BUY-MORE,5 - Large
17,FB,CARMIGNAC GESTION,SHR,2014-03-31,358440000,5950192,60.0,CARMIGNAC GESTION,SHR,2013-12-31,275163000,5035090,54.0,915102,6.0,SELL-PARTIAL,6 - Mega
18,TMO,CARMIGNAC GESTION,SHR,2014-03-31,351228000,2921061,120.0,CARMIGNAC GESTION,SHR,2013-12-31,154839000,1390564,111.0,1530497,9.0,SELL-PARTIAL,5 - Large
19,CBD,CARMIGNAC GESTION,SHR,2014-03-31,337745000,7718118,43.0,CARMIGNAC GESTION,SHR,2013-12-31,374214000,8377301,44.0,-659183,-1.0,SELL-PARTIAL,5 - Large
20,CME,CARMIGNAC GESTION,SHR,2014-03-31,315934000,4268221,74.0,CARMIGNAC GESTION,SHR,2013-12-31,338465000,4313852,78.0,-45631,-4.0,SELL-PARTIAL,5 - Large
21,GRPN,CARMIGNAC GESTION,SHR,2014-03-31,262647000,33500839,7.0,CARMIGNAC GESTION,SHR,2013-12-31,184736000,15702130,11.0,17798709,-4.0,SELL-PARTIAL,5 - Large
22,HOT,CARMIGNAC GESTION,SHR,2014-03-31,167236000,2100957,79.0,CARMIGNAC GESTION,SHR,2013-12-31,257447000,3240365,79.0,-1139408,0.0,SELL-PARTIAL,5 - Large
23,TWTR,CARMIGNAC GESTION,SHR,2014-03-31,152204000,3261271,46.0,CARMIGNAC GESTION,SHR,2013-12-31,211690000,3325842,63.0,-64571,-17.0,SELL-PARTIAL,
0,CMCSK,CARMIGNAC GESTION,SHR,2014-06-30,915259000,17050276,53.0,CARMIGNAC GESTION,SHR,2014-03-31,813072000,16248441,50.0,801835,3.0,SELL-PARTIAL,5 - Large
1,CELG,CARMIGNAC GESTION,SHR,2014-06-30,843112000,9817322,85.0,CARMIGNAC GESTION,SHR,2014-03-31,561817000,4024477,139.0,5792845,-54.0,BUY-MORE,6 - Mega
2,BAC,CARMIGNAC GESTION,SHR,2014-06-30,822410000,53507453,15.0,CARMIGNAC GESTION,SHR,2014-03-31,917021000,53315153,17.0,192300,-2.0,BUY-MORE,6 - Mega
3,APC,CARMIGNAC GESTION,SHR,2014-06-30,821817000,7507231,109.0,CARMIGNAC GESTION,SHR,2014-03-31,670673000,7912613,84.0,-405382,25.0,BUY-MORE,5 - Large
4,AIG,CARMIGNAC GESTION,SHR,2014-06-30,751503000,13768835,54.0,CARMIGNAC GESTION,SHR,2014-03-31,686084000,13718935,50.0,49900,4.0,SELL-PARTIAL,5 - Large
5,YUM,CARMIGNAC GESTION,SHR,2014-06-30,680372000,8378960,81.0,CARMIGNAC GESTION,SHR,2014-03-31,655761000,8698248,75.0,-319288,6.0,SELL-PARTIAL,5 - Large
6,GOOGL,CARMIGNAC GESTION,SHR,2014-06-30,633274000,1091900,579.0,CARMIGNAC GESTION,SHR,2014-03-31,606230000,543943,1114.0,547957,-535.0,SELL-PARTIAL,5 - Large
7,BSMX,CARMIGNAC GESTION,SHR,2014-06-30,613889000,46226599,13.0,CARMIGNAC GESTION,SHR,2014-03-31,606229000,49327052,12.0,-3100453,1.0,BUY-MORE,5 - Large
8,SLB,CARMIGNAC GESTION,SHR,2014-06-30,595200000,5046205,117.0,CARMIGNAC GESTION,SHR,2014-03-31,569806000,5844161,97.0,-797956,20.0,SELL-PARTIAL,5 - Large
9,ICE,CARMIGNAC GESTION,SHR,2014-06-30,540598000,2861820,188.0,CARMIGNAC GESTION,SHR,2014-03-31,561865000,2840142,197.0,21678,-9.0,SELL-PARTIAL,5 - Large
10,COF,CARMIGNAC GESTION,SHR,2014-06-30,485402000,5876536,82.0,CARMIGNAC GESTION,SHR,2014-03-31,451735000,5854525,77.0,22011,5.0,SELL-PARTIAL,5 - Large
11,CHKP,CARMIGNAC GESTION,SHR,2014-06-30,464717000,6932974,67.0,CARMIGNAC GESTION,SHR,2014-03-31,478242000,7071444,67.0,-138470,0.0,SELL-PARTIAL,5 - Large
12,LVS,CARMIGNAC GESTION,SHR,2014-06-30,452031000,5930605,76.0,CARMIGNAC GESTION,SHR,2014-03-31,413775000,5122241,80.0,808364,-4.0,BUY-MORE,5 - Large
13,BIDU,CARMIGNAC GESTION,SHR,2014-06-30,389908000,2087190,186.0,CARMIGNAC GESTION,SHR,2014-03-31,615331000,4041053,152.0,-1953863,34.0,SELL-PARTIAL,5 - Large
14,PX,CARMIGNAC GESTION,SHR,2014-06-30,389437000,2931625,132.0,CARMIGNAC GESTION,SHR,2014-03-31,372875000,2847025,130.0,84600,2.0,BUY-MORE,6 - Mega
15,TROW,CARMIGNAC GESTION,SHR,2014-06-30,383644000,4545006,84.0,CARMIGNAC GESTION,SHR,2014-03-31,372964000,4529006,82.0,16000,2.0,BUY-MORE,5 - Large
16,TMO,CARMIGNAC GESTION,SHR,2014-06-30,383633000,3251129,117.0,CARMIGNAC GESTION,SHR,2014-03-31,351228000,2921061,120.0,330068,-3.0,BUY-MORE,5 - Large
17,ZTS,CARMIGNAC GESTION,SHR,2014-06-30,370609000,11484628,32.0,CARMIGNAC GESTION,SHR,2014-03-31,363267000,12552431,28.0,-1067803,4.0,SELL-PARTIAL,6 - Mega
18,FLR,CARMIGNAC GESTION,SHR,2014-06-30,352692000,4586368,76.0,CARMIGNAC GESTION,SHR,2014-03-31,355148000,4568995,77.0,17373,-1.0,SELL-PARTIAL,5 - Large
19,CBD,CARMIGNAC GESTION,SHR,2014-06-30,344741000,7440978,46.0,CARMIGNAC GESTION,SHR,2014-03-31,337745000,7718118,43.0,-277140,3.0,SELL-PARTIAL,5 - Large
20,FB,CARMIGNAC GESTION,SHR,2014-06-30,338819000,5035206,67.0,CARMIGNAC GESTION,SHR,2014-03-31,358440000,5950192,60.0,-914986,7.0,SELL-PARTIAL,5 - Large
21,CME,CARMIGNAC GESTION,SHR,2014-06-30,304037000,4285229,70.0,CARMIGNAC GESTION,SHR,2014-03-31,315934000,4268221,74.0,17008,-4.0,SELL-PARTIAL,5 - Large
22,GRPN,CARMIGNAC GESTION,SHR,2014-06-30,222619000,33628252,6.0,CARMIGNAC GESTION,SHR,2014-03-31,262647000,33500839,7.0,127413,-1.0,SELL-PARTIAL,5 - Large
23,J,CARMIGNAC GESTION,SHR,2014-06-30,179550000,3369927,53.0,CARMIGNAC GESTION,SHR,2014-03-31,194212000,3058461,63.0,311466,-10.0,SELL-PARTIAL,
0,CMCSK,CARMIGNAC GESTION,SHR,2014-09-30,917787000,17065576,53.0,CARMIGNAC GESTION,SHR,2014-06-30,915259000,17050276,53.0,15300,0.0,SELL-PARTIAL,5 - Large
1,BAC,CARMIGNAC GESTION,SHR,2014-09-30,913114000,53555053,17.0,CARMIGNAC GESTION,SHR,2014-06-30,822410000,53507453,15.0,47600,2.0,BUY-MORE,6 - Mega
2,CELG,CARMIGNAC GESTION,SHR,2014-09-30,908282000,9583060,94.0,CARMIGNAC GESTION,SHR,2014-06-30,843112000,9817322,85.0,-234262,9.0,BUY-MORE,6 - Mega
3,YUM,CARMIGNAC GESTION,SHR,2014-09-30,763240000,10603497,71.0,CARMIGNAC GESTION,SHR,2014-06-30,680372000,8378960,81.0,2224537,-10.0,BUY-MORE,5 - Large
4,GOOGL,CARMIGNAC GESTION,SHR,2014-09-30,762588000,1306274,583.0,CARMIGNAC GESTION,SHR,2014-06-30,633274000,1091900,579.0,214374,4.0,SELL-PARTIAL,5 - Large
5,AIG,CARMIGNAC GESTION,SHR,2014-09-30,744468000,13781335,54.0,CARMIGNAC GESTION,SHR,2014-06-30,751503000,13768835,54.0,12500,0.0,SELL-PARTIAL,5 - Large
6,FB,CARMIGNAC GESTION,SHR,2014-09-30,680493000,8609475,79.0,CARMIGNAC GESTION,SHR,2014-06-30,338819000,5035206,67.0,3574269,12.0,SELL-PARTIAL,5 - Large
7,BSMX,CARMIGNAC GESTION,SHR,2014-09-30,586879000,43376134,13.0,CARMIGNAC GESTION,SHR,2014-06-30,613889000,46226599,13.0,-2850465,0.0,BUY-MORE,5 - Large
8,ICE,CARMIGNAC GESTION,SHR,2014-09-30,558705000,2864420,195.0,CARMIGNAC GESTION,SHR,2014-06-30,540598000,2861820,188.0,2600,7.0,SELL-PARTIAL,5 - Large
9,APC,CARMIGNAC GESTION,SHR,2014-09-30,500899000,4937886,101.0,CARMIGNAC GESTION,SHR,2014-06-30,821817000,7507231,109.0,-2569345,-8.0,SELL-PARTIAL,5 - Large
10,CHKP,CARMIGNAC GESTION,SHR,2014-09-30,474179000,6848340,69.0,CARMIGNAC GESTION,SHR,2014-06-30,464717000,6932974,67.0,-84634,2.0,SELL-PARTIAL,5 - Large
11,BIDU,CARMIGNAC GESTION,SHR,2014-09-30,451429000,2068595,218.0,CARMIGNAC GESTION,SHR,2014-06-30,389908000,2087190,186.0,-18595,32.0,SELL-PARTIAL,5 - Large
12,TMO,CARMIGNAC GESTION,SHR,2014-09-30,396015000,3254029,121.0,CARMIGNAC GESTION,SHR,2014-06-30,383633000,3251129,117.0,2900,4.0,BUY-MORE,5 - Large
13,SLB,CARMIGNAC GESTION,SHR,2014-09-30,373424000,3672185,101.0,CARMIGNAC GESTION,SHR,2014-06-30,595200000,5046205,117.0,-1374020,-16.0,SELL-PARTIAL,5 - Large
14,LVS,CARMIGNAC GESTION,SHR,2014-09-30,366266000,5887578,62.0,CARMIGNAC GESTION,SHR,2014-06-30,452031000,5930605,76.0,-43027,-14.0,BUY-MORE,6 - Mega
15,PX,CARMIGNAC GESTION,SHR,2014-09-30,364849000,2828284,129.0,CARMIGNAC GESTION,SHR,2014-06-30,389437000,2931625,132.0,-103341,-3.0,BUY-MORE,5 - Large
16,CBD,CARMIGNAC GESTION,SHR,2014-09-30,335988000,7704372,43.0,CARMIGNAC GESTION,SHR,2014-06-30,344741000,7440978,46.0,263394,-3.0,BUY-MORE,5 - Large
17,ICPT,CARMIGNAC GESTION,SHR,2014-09-30,314920000,1330516,236.0,CARMIGNAC GESTION,SHR,2014-06-30,236766000,1000576,236.0,329940,0.0,SELL-PARTIAL,6 - Mega
18,ZTS,CARMIGNAC GESTION,SHR,2014-09-30,277690000,7515303,36.0,CARMIGNAC GESTION,SHR,2014-06-30,370609000,11484628,32.0,-3969325,4.0,SELL-PARTIAL,5 - Large
19,JNJ,CARMIGNAC GESTION,SHR,2014-09-30,276833000,2597176,106.0,CARMIGNAC GESTION,SHR,2014-06-30,271591000,2595976,104.0,1200,2.0,SELL-PARTIAL,5 - Large
20,CME,CARMIGNAC GESTION,SHR,2014-09-30,247964000,3101300,79.0,CARMIGNAC GESTION,SHR,2014-06-30,304037000,4285229,70.0,-1183929,9.0,SELL-PARTIAL,5 - Large
21,COF,CARMIGNAC GESTION,SHR,2014-09-30,245278000,3005125,81.0,CARMIGNAC GESTION,SHR,2014-06-30,485402000,5876536,82.0,-2871411,-1.0,SELL-PARTIAL,5 - Large
22,GRPN,CARMIGNAC GESTION,SHR,2014-09-30,224848000,33659852,6.0,CARMIGNAC GESTION,SHR,2014-06-30,222619000,33628252,6.0,31600,0.0,SELL-PARTIAL,5 - Large
0,CMCSK,CARMIGNAC GESTION,SHR,2014-12-31,991656000,17094576,58.0,CARMIGNAC GESTION,SHR,2014-09-30,917787000,17065576,53.0,29000,5.0,SELL-PARTIAL,5 - Large
1,CELG,CARMIGNAC GESTION,SHR,2014-12-31,842127000,7528400,111.0,CARMIGNAC GESTION,SHR,2014-09-30,908282000,9583060,94.0,-2054660,17.0,BUY-MORE,6 - Mega
2,GOOGL,CARMIGNAC GESTION,SHR,2014-12-31,692023000,1308474,528.0,CARMIGNAC GESTION,SHR,2014-09-30,762588000,1306274,583.0,2200,-55.0,BUY-MORE,6 - Mega
3,FB,CARMIGNAC GESTION,SHR,2014-12-31,672850000,8624075,78.0,CARMIGNAC GESTION,SHR,2014-09-30,680493000,8609475,79.0,14600,-1.0,BUY-MORE,5 - Large
4,ICE,CARMIGNAC GESTION,SHR,2014-12-31,629191000,2869220,219.0,CARMIGNAC GESTION,SHR,2014-09-30,558705000,2864420,195.0,4800,24.0,SELL-PARTIAL,5 - Large
5,YUM,CARMIGNAC GESTION,SHR,2014-12-31,522898000,7177729,72.0,CARMIGNAC GESTION,SHR,2014-09-30,763240000,10603497,71.0,-3425768,1.0,SELL-PARTIAL,5 - Large
6,BIDU,CARMIGNAC GESTION,SHR,2014-12-31,486340000,2133351,227.0,CARMIGNAC GESTION,SHR,2014-09-30,451429000,2068595,218.0,64756,9.0,SELL-PARTIAL,5 - Large
7,AIG,CARMIGNAC GESTION,SHR,2014-12-31,475053000,8481567,56.0,CARMIGNAC GESTION,SHR,2014-09-30,744468000,13781335,54.0,-5299768,2.0,BUY-MORE,5 - Large
8,BSMX,CARMIGNAC GESTION,SHR,2014-12-31,450141000,43449934,10.0,CARMIGNAC GESTION,SHR,2014-09-30,586879000,43376134,13.0,73800,-3.0,SELL-PARTIAL,5 - Large
9,LVS,CARMIGNAC GESTION,SHR,2014-12-31,422409000,7262871,58.0,CARMIGNAC GESTION,SHR,2014-09-30,366266000,5887578,62.0,1375293,-4.0,SELL-PARTIAL,5 - Large
10,TMO,CARMIGNAC GESTION,SHR,2014-12-31,408386000,3259529,125.0,CARMIGNAC GESTION,SHR,2014-09-30,396015000,3254029,121.0,5500,4.0,SELL-PARTIAL,5 - Large
11,GRPN,CARMIGNAC GESTION,SHR,2014-12-31,390327000,47255034,8.0,CARMIGNAC GESTION,SHR,2014-09-30,224848000,33659852,6.0,13595182,2.0,SELL-PARTIAL,5 - Large
12,PX,CARMIGNAC GESTION,SHR,2014-12-31,368959000,2847784,129.0,CARMIGNAC GESTION,SHR,2014-09-30,364849000,2828284,129.0,19500,0.0,BUY-MORE,5 - Large
13,CHKP,CARMIGNAC GESTION,SHR,2014-12-31,332226000,4228409,78.0,CARMIGNAC GESTION,SHR,2014-09-30,474179000,6848340,69.0,-2619931,9.0,SELL-PARTIAL,5 - Large
14,CBD,CARMIGNAC GESTION,SHR,2014-12-31,300496000,8158990,36.0,CARMIGNAC GESTION,SHR,2014-09-30,335988000,7704372,43.0,454618,-7.0,BUY-MORE,6 - Mega
15,APC,CARMIGNAC GESTION,SHR,2014-12-31,282248000,3421189,82.0,CARMIGNAC GESTION,SHR,2014-09-30,500899000,4937886,101.0,-1516697,-19.0,BUY-MORE,5 - Large
16,ICPT,CARMIGNAC GESTION,SHR,2014-12-31,223403000,1432071,155.0,CARMIGNAC GESTION,SHR,2014-09-30,314920000,1330516,236.0,101555,-81.0,BUY-MORE,5 - Large
17,SLB,CARMIGNAC GESTION,SHR,2014-12-31,185954000,2177191,85.0,CARMIGNAC GESTION,SHR,2014-09-30,373424000,3672185,101.0,-1494994,-16.0,SELL-PARTIAL,6 - Mega
0,CMCSK,CARMIGNAC GESTION,SHR,2015-03-31,968293000,17147030,56.0,CARMIGNAC GESTION,SHR,2014-12-31,991656000,17094576,58.0,52454,-2.0,SELL-PARTIAL,5 - Large
1,CELG,CARMIGNAC GESTION,SHR,2015-03-31,870542000,7551544,115.0,CARMIGNAC GESTION,SHR,2014-12-31,842127000,7528400,111.0,23144,4.0,BUY-MORE,6 - Mega
2,GOOGL,CARMIGNAC GESTION,SHR,2015-03-31,724380000,1312527,551.0,CARMIGNAC GESTION,SHR,2014-12-31,692023000,1308474,528.0,4053,23.0,BUY-MORE,6 - Mega
3,FB,CARMIGNAC GESTION,SHR,2015-03-31,711141000,8649775,82.0,CARMIGNAC GESTION,SHR,2014-12-31,672850000,8624075,78.0,25700,4.0,BUY-MORE,5 - Large
4,ICE,CARMIGNAC GESTION,SHR,2015-03-31,671397000,2878196,233.0,CARMIGNAC GESTION,SHR,2014-12-31,629191000,2869220,219.0,8976,14.0,SELL-PARTIAL,5 - Large
